	Company_name	Symbol
0	JPMorgan Chase & Co.	JPM
1	Bank of America Corporation	BAC
2	Citigroup Inc.	C
3	Wells Fargo & Company	WFC
4	The Toronto-Dominion Bank	TD.TO
5	UBS Group AG	UBS
6	Credit Suisse	USOI
7	BMO	BMO
8	NatWest Group plc	NWG
9	U.S. Bancorp	USB
10	Truist Financial Corporation	TFC
11	The PNC Financial Services Group, Inc.	PNC
12	SVB	SIVBQ
13	Signature Bank	SBNY
14	First Republic Bank	FRCB
15	M&T Bank Corporation	MTB
16	HDFC Bank Limited	HDB
17	Citizens Financial Group, Inc.	CFG
18	New York Community Bancorp	NYCB
19	PacWest Bancorp	PACW
