Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,262205,208718,206046,185307,316808,271523
Market Cap Growth,-17.24%,-23.13%,-25.27%,-30.46%,31.01%,-7.72%
Enterprise Value,23716,40232,-81890,77538,303713,311431
PE Ratio,15.92,11.59,10.93,8.17,12.19,10.33
PS Ratio,3.07,2.38,2.28,2.04,3.47,2.97
PB Ratio,0.96,0.78,0.78,0.7,1.2,1.01
Debt / Equity Ratio,1.66,1.73,1.73,1.72,1.62,1.77
Dividend Yield,0.60%,0.76%,0.77%,0.86%,0.52%,0.62%
Payout Ratio,30.50%,35.30%,47.40%,45.00%,24.00%,31.60%
Buyback Yield / Dilution,3.18%,6.15%,8.28%,9.45%,9.20%,8.04%
Total Shareholder Return,3.78%,6.91%,9.05%,10.31%,9.72%,8.66%
