Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,128374,89749,106380,88725,174415,156056
Market Cap Growth,-26.40%,-42.49%,-34.31%,-39.36%,37.19%,-13.56%
Enterprise Value,319484,283974,332260,346178,440644,408128
PE Ratio,11.62,7.66,7.89,5.15,8.99,8.33
PS Ratio,1.7,1.17,1.36,1.15,2.32,2.14
PB Ratio,0.64,0.46,0.56,0.46,0.9,0.8
Debt / Equity Ratio,2.51,2.67,2.8,2.83,2.38,2.41
Interest Coverage,,,,,,
Dividend Yield,0.83%,1.19%,1.00%,1.21%,0.63%,0.73%
Payout Ratio,26.40%,37.20%,134.20%,48.10%,23.60%,24.40%
Buyback Yield / Dilution,3.27%,6.38%,8.94%,9.76%,9.83%,9.85%
Total Shareholder Return,4.10%,7.57%,9.94%,10.98%,10.46%,10.58%
