Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Cash & Equivalents,13039,9544,7921,4338,3683,4000
Cash & Cash Equivalents,13039,9544,7921,4338,3683,4000
Cash Growth,254.03%,138.60%,145.92%,66.65%,-12.77%,-3.22%
Receivables,0,0,51,0,0,257
"Property, Plant & Equipment",759,747,751,746,761,747
Goodwill and Intangibles,7050,7050,7050,7050,7044,7044
Total Assets,183349,179228,179874,176719,165733,164362
Accounts Payable,0,0,155,0,0,206
Total Liabilities,160676,156759,157456,154769,143532,142511
Total Debt,8589,9361,9457,17496,14321,13883
Debt Growth,-40.03%,-32.57%,-27.14%,41.05%,-16.94%,-22.95%
Common Stock,16288,16270,16256,15854,16114,16062
Retained Earnings,6445,6189,6068,6011,6498,6229
Comprehensive Income,-60,10,94,85,-411,-440
Shareholders' Equity,22673,22469,22418,21950,22201,21851
Net Cash / Debt,4450,183,-1536,-13158,-10638,-9883
Net Cash / Debt Growth,,,,,,
Net Cash Per Share,10.39,0.43,-3.59,-30.64,-24.39,-22.1
Book Value Per Share,53.09,52.64,52.55,51.32,51.09,49.03
