Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,15272,10790,10768,8040,17654,15813
Market Cap Growth,-13.49%,-31.77%,-33.56%,-46.27%,26.91%,-13.86%
Enterprise Value,10822,10607,12304,21198,28292,25696
PE Ratio,16.08,11.32,9.82,6.16,10.28,9.08
PS Ratio,2.89,2.06,1.99,1.42,2.9,2.6
PB Ratio,0.67,0.48,0.48,0.37,0.8,0.72
Debt / Equity Ratio,0.38,0.42,0.42,0.8,0.65,0.64
Dividend Yield,1.09%,1.55%,1.55%,2.08%,0.89%,1.02%
Payout Ratio,39.40%,57.40%,73.60%,1300.00%,36.70%,37.10%
Buyback Yield / Dilution,1.83%,4.28%,6.91%,7.16%,6.99%,6.38%
Total Shareholder Return,2.93%,5.83%,8.46%,9.25%,7.88%,7.40%
