Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,387335,293393,286603,276750,437226,376312
Market Cap Growth,-11.41%,-22.03%,-20.98%,-16.50%,34.69%,-0.77%
Enterprise Value,401828,363478,393538,493676,689688,712846
PE Ratio,14.13,12.33,12.25,9.77,12.62,11.34
PS Ratio,3.23,2.46,2.4,2.41,3.78,3.33
PB Ratio,1.39,1.08,1.08,1.06,1.67,1.42
Debt / Equity Ratio,1.94,2.06,2.27,2.24,1.97,2.24
Dividend Yield,0.72%,0.95%,0.97%,1.01%,0.65%,0.68%
Payout Ratio,23.70%,30.70%,64.70%,113.90%,34.90%,29.70%
Buyback Yield / Dilution,1.98%,3.88%,5.48%,6.27%,5.97%,5.51%
Total Shareholder Return,2.70%,4.82%,6.45%,7.28%,6.62%,6.19%
