Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,16332,11813,13337,13491,22400,21115
Market Cap Growth,-27.09%,-44.05%,-42.60%,-37.98%,11.50%,-10.75%
Enterprise Value,-4443,-4369,-2533,9677,20822,19317
PE Ratio,12.77,9.08,9.47,8.24,12.11,11.11
PS Ratio,3.17,2.29,2.49,2.35,3.72,3.5
PB Ratio,1.01,0.73,0.84,0.85,1.43,1.34
Debt / Equity Ratio,0.27,0.34,0.4,0.4,0.45,0.79
Dividend Yield,0.86%,1.20%,1.06%,1.06%,0.65%,0.63%
Payout Ratio,31.20%,40.00%,63.20%,57.00%,30.60%,28.80%
Buyback Yield / Dilution,2.78%,3.49%,5.26%,5.92%,5.98%,6.98%
Total Shareholder Return,3.64%,4.69%,6.32%,6.98%,6.63%,7.61%
