Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Cash & Equivalents,124489,111681,100281,81085,80993,84252
Cash & Cash Equivalents,124489,111681,100281,81085,80993,84252
Cash Growth,53.70%,32.56%,17.45%,-3.24%,-8.89%,-20.89%
"Property, Plant & Equipment",0,0,0,0,0,0
Goodwill and Intangibles,6655,6600,6602,6619,6622,6646
Total Assets,799491,791561,806887,817644,723039,776507
Total Liabilities,755667,748411,763826,773521,679483,732361
Total Debt,209171,211688,229540,254356,194208,221258
Debt Growth,7.70%,-4.33%,21.98%,47.02%,15.17%,35.16%
Common Stock,43860,43188,43103,44163,43547,44130
Shareholders' Equity,43860,43188,43103,44163,43547,44130
Net Cash / Debt,-84682,-100007,-129259,-173271,-113215,-137006
Book Value Per Share,7.81,7.69,7.68,7.87,7.79,7.89
