Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,27332,16266,18443,16448,38797,30724
Market Cap Growth,-29.55%,-47.06%,-46.10%,-58.13%,16.01%,-21.35%
Enterprise Value,143335,145308,182062,227754,187764,201981
PE Ratio,-17.59,33.71,-662.28,5.86,10.81,16.17
PS Ratio,1.92,1.03,1.15,0.96,2.11,1.88
PB Ratio,0.46,0.29,0.34,0.31,0.68,0.56
Debt / Equity Ratio,4.77,4.9,5.33,5.76,4.46,5.01
Dividend Yield,,,,15.23%,,12.96%
Payout Ratio,0.00%,0.00%,0.00%,351.70%,0.00%,-508.60%
Buyback Yield / Dilution,-0.38%,-0.38%,-0.38%,-0.38%,-0.70%,-0.70%
Total Shareholder Return,-0.38%,-0.38%,-0.38%,14.85%,-0.70%,12.26%
