Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Cash & Equivalents,1948,1459,1405,1334,742,855
Cash & Cash Equivalents,1948,1459,1405,1334,742,855
Cash Growth,162.58%,70.67%,14.35%,34.77%,-49.70%,-50.65%
Receivables,0,0,0,0,0,0
"Property, Plant & Equipment",554,561,575,589,599,623
Goodwill and Intangibles,2426,2426,2426,2426,2426,2426
Total Assets,56306,54932,54210,54261,53641,52538
Accounts Payable,0,0,0,0,0,0
Total Liabilities,49464,48197,47517,47624,46929,45843
Total Debt,16351,15955,15286,15215,14844,13927
Debt Growth,10.16%,14.56%,14.16%,12.12%,4.47%,0.63%
Common Stock,6373,6368,6360,6374,6403,6394
Retained Earnings,494,392,363,344,342,328
Comprehensive Income,-25,-25,-30,-81,-33,-28
Shareholders' Equity,6842,6735,6693,6637,6712,6695
Net Cash / Debt,-14403,-14496,-13882,-13880,-14102,-13072
Book Value Per Share,14.75,14.52,14.43,14.2,14.36,14.33
