Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,4894,3837,4732,4388,5618,5865
Market Cap Growth,-12.88%,-34.59%,1.46%,-18.85%,21.75%,15.35%
Enterprise Value,19297,18333,18614,18268,19719,18938
PE Ratio,10.24,9.87,12.7,12.03,15.52,16.17
PS Ratio,4.45,3.67,4.65,4.36,5.43,5.62
PB Ratio,0.72,0.57,0.71,0.66,0.84,0.88
Debt / Equity Ratio,2.39,2.37,2.28,2.29,2.21,2.08
Dividend Yield,1.61%,2.06%,1.67%,1.81%,1.41%,1.35%
Payout Ratio,43.60%,73.90%,81.00%,85.00%,85.00%,89.50%
Buyback Yield / Dilution,0.74%,0.74%,0.73%,0.01%,4.69%,4.69%
Total Shareholder Return,2.35%,2.79%,2.40%,1.82%,6.10%,6.04%
