Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Cash & Equivalents,3161,2953,1921,612,638,736
Cash & Cash Equivalents,3161,2953,1921,612,638,736
Cash Growth,395.69%,301.25%,216.11%,9.94%,65.29%,92.78%
Receivables,0,0,0,0,0,0
"Property, Plant & Equipment",373,327,337,346,363,334
Goodwill and Intangibles,1102,1105,1109,1113,2587,2591
Total Assets,29498,28427,27366,26143,26771,26725
Accounts Payable,0,0,0,0,0,0
Total Liabilities,25903,24940,23913,22753,21816,21805
Total Debt,471,523,521,2754,2217,1709
Debt Growth,-78.77%,-69.38%,-78.02%,42.29%,21.49%,-13.07%
Common Stock,3013,3038,3061,3086,3224,3290
Retained Earnings,409,293,247,214,1652,1534
Comprehensive Income,173,155,145,91,79,96
Shareholders' Equity,3595,3486,3453,3390,4955,4920
Net Cash / Debt,2690,2430,1400,-2142,-1580,-973
Net Cash / Debt Growth,,,,,,
Net Cash Per Share,,,,,,
Book Value Per Share,30.78,29.86,29.64,29.01,41.91,41.62
