Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,2966.29,1994.09,2295.82,2094.12,4524,4295.59
Market Cap Growth,-34.43%,-53.58%,-50.25%,-53.91%,11.63%,-26.37%
Enterprise Value,276.45,-435.82,895.45,4235.85,6103.59,5268.77
PE Ratio,-2.4,-1.61,-1.96,-1.94,9.65,9.22
PS Ratio,3.61,2.48,2.58,2.05,3.99,3.74
PB Ratio,0.83,0.57,0.67,0.62,0.91,0.87
Debt / Equity Ratio,0.13,0.15,0.15,0.81,0.45,0.35
Dividend Yield,0.98%,1.46%,1.27%,3.35%,1.57%,1.65%
Payout Ratio,25.30%,65.80%,89.30%,-4.90%,60.60%,65.20%
Buyback Yield / Dilution,1.21%,1.23%,1.98%,3.26%,2.92%,3.45%
Total Shareholder Return,2.19%,2.70%,3.25%,6.61%,4.49%,5.10%
