Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,63131,46657,44636,41038,69945,62407
Market Cap Growth,-9.74%,-25.24%,-27.97%,-26.24%,29.66%,-1.31%
Enterprise Value,8136,11179,35091,86958,101734,99358
PE Ratio,8.67,6.48,6.32,8.59,13.64,12.24
PS Ratio,3.74,2.74,2.63,2.4,4.15,3.87
PB Ratio,1.17,0.88,0.84,0.83,1.42,1.26
Debt / Equity Ratio,0.69,0.79,0.89,1.49,1.22,1.25
Dividend Yield,0.77%,1.05%,1.10%,1.20%,0.72%,0.82%
Payout Ratio,35.30%,33.80%,13.70%,58.70%,38.60%,39.00%
Buyback Yield / Dilution,3.42%,4.27%,5.75%,5.70%,5.39%,4.71%
Total Shareholder Return,4.19%,5.32%,6.85%,6.91%,6.11%,5.53%
