Quarter Ended,1/31/2021,10/31/2020,7/31/2020,4/30/2020,1/31/2020,10/31/2019
Market Capitalization,102774,80166,80257,75708,100158,104461
Market Cap Growth,2.61%,-23.26%,-24.97%,-27.40%,-2.82%,2.23%
Enterprise Value,137785,27691,188140,180471,278469,99707
PE Ratio,11.12,9.03,11.52,10.32,11.1,11.97
PS Ratio,3.02,2.41,2.55,2.54,3.2,3.33
PB Ratio,1.39,1.1,1.16,1.14,1.5,1.56
Debt / Equity Ratio,2.81,1.07,3.37,3.21,3.11,0.28
Dividend Yield,1.10%,1.34%,1.78%,1.89%,1.34%,1.30%
Payout Ratio,45.50%,27.70%,87.50%,139.20%,61.10%,62.90%
Buyback Yield / Dilution,-0.20%,0.98%,0.98%,0.98%,0.98%,0.66%
Total Shareholder Return,0.90%,2.32%,2.76%,2.87%,2.32%,1.95%
