Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Cash & Equivalents,18868,37108,41197,36348,19065,3018
Cash & Cash Equivalents,18868,37108,41197,36348,19065,3018
Cash Growth,-1.03%,1129.56%,1425.25%,1123.01%,395.97%,-4.28%
Receivables,0,0,0,0,0,0
"Property, Plant & Equipment",3870,3968,4002,3999,3712,2022
Goodwill and Intangibles,27431,26709,26898,27095,27296,11429
Total Assets,509228,499183,504336,506229,473078,236750
Accounts Payable,0,0,0,0,0,6242
Total Liabilities,438316,429210,435453,440168,406520,204447
Total Debt,45689,47252,47833,78358,59557,35925
Debt Growth,-23.29%,31.53%,45.02%,152.49%,106.17%,9.23%
Common Stock,50741,50669,49663,47087,47596,13889
Retained Earnings,19455,18834,18373,18076,19806,19440
Comprehensive Income,716,470,847,898,-844,-1026
Shareholders' Equity,70912,69973,68883,66061,66558,32303
Net Cash / Debt,-26821,-10144,-6636,-42010,-40492,-32907
Net Cash Per Share,-19.7,-7.47,-4.89,-30.95,-43.26,-42.42
Book Value Per Share,52.59,51.91,51.12,49.14,72.02,42.16
