Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,64615,51277,50597,41411,43158,40882
Market Cap Growth,49.72%,25.43%,34.46%,16.55%,29.28%,8.75%
Enterprise Value,91436,61421,57233,83421,83650,73789
PE Ratio,15.44,14.02,15.22,12.68,14.25,13.27
PS Ratio,3.17,2.79,3.15,2.97,3.61,3.62
PB Ratio,0.91,0.73,0.74,0.63,0.65,1.27
Debt / Equity Ratio,0.64,0.68,0.69,1.19,0.89,1.11
Dividend Yield,0.95%,1.19%,1.21%,1.48%,0.98%,0.85%
Payout Ratio,49.50%,57.00%,67.20%,61.60%,62.50%,46.90%
Buyback Yield / Dilution,-45.46%,-75.06%,-75.04%,-75.38%,-20.71%,0.78%
Total Shareholder Return,-44.51%,-73.87%,-73.83%,-73.90%,-19.73%,1.63%
