Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,70185,54003,55462,52450,92603,87206
Market Cap Growth,-24.21%,-38.07%,-33.52%,-32.00%,25.38%,1.37%
Enterprise Value,60668,66122,66244,84287,134088,127787
PE Ratio,15.19,11.73,11.25,8.66,14.07,12.54
PS Ratio,3.61,2.79,2.83,2.5,4.33,4.04
PB Ratio,1.32,1.03,1.07,1.02,1.79,1.63
Debt / Equity Ratio,1,1.07,1.22,1.53,1.23,1.04
Dividend Yield,0.90%,1.17%,1.14%,1.22%,0.71%,0.76%
Payout Ratio,44.70%,42.40%,102.40%,58.30%,46.70%,36.20%
Buyback Yield / Dilution,3.15%,4.50%,5.34%,5.36%,3.77%,3.37%
Total Shareholder Return,4.05%,5.67%,6.48%,6.57%,4.48%,4.13%
