Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,124779,96862,104960,117667,227540,222244
Market Cap Growth,-45.16%,-56.42%,-50.65%,-46.47%,4.90%,-12.20%
Enterprise Value,132116,121027,133863,296489,418993,428072
PE Ratio,69.86,64.83,39.91,9.31,12.57,10.53
PS Ratio,1.68,1.23,1.3,1.4,2.62,2.6
PB Ratio,0.68,0.54,0.59,0.64,1.22,1.15
Debt / Equity Ratio,1.47,1.5,1.62,1.8,1.78,1.83
Dividend Yield,0.34%,0.43%,1.99%,1.79%,0.95%,1.01%
Payout Ratio,15.20%,14.30%,-50.50%,5100.00%,76.10%,54.80%
Buyback Yield / Dilution,0.72%,5.86%,8.67%,9.79%,9.91%,8.99%
Total Shareholder Return,1.06%,6.29%,10.66%,11.58%,10.86%,10.00%
