,name,state,amount,count,symbol
0,"JPMorgan Chase Bank, National Association",NY,11087958271.58,102492,JPM-PD
56,"Bank of America, National Association",NY,2726850870.75,30684,BAC
132,"U.S. Bank, National Association",NY,35974239.95,237,IUS2.DE
175,"Wells Fargo Bank, National Association",NY,216912620.0,3685,AAADAXX
214,Manufacturers and Traders Trust Company,NY,4998865711.82,31756,0
1,"JPMorgan Chase Bank, National Association",CA,8856228454.19,97447,JPM-PD
54,"Bank of America, National Association",CA,9517232864.77,133826,BAC
108,"U.S. Bank, National Association",CA,5830659531.21,68118,IUS2.DE
161,"Wells Fargo Bank, National Association",CA,5061065837.0,82603,AAADAXX
233,Manufacturers and Traders Trust Company,CA,10850206.0,29,0
2,"JPMorgan Chase Bank, National Association",TX,4309288233.39,47970,JPM-PD
57,"Bank of America, National Association",TX,2227192037.72,37856,BAC
126,"U.S. Bank, National Association",TX,77101939.31,594,IUS2.DE
163,"Wells Fargo Bank, National Association",TX,1019736380.36,24691,AAADAXX
229,Manufacturers and Traders Trust Company,TX,14474617.0,35,0
8,"JPMorgan Chase Bank, National Association",OH,1502201444.26,12382,JPM-PD
77,"Bank of America, National Association",OH,154379866.53,652,BAC
112,"U.S. Bank, National Association",OH,653930256.13,11488,IUS2.DE
191,"Wells Fargo Bank, National Association",OH,25996856.0,99,AAADAXX
227,Manufacturers and Traders Trust Company,OH,25602142.79,57,0
5,"JPMorgan Chase Bank, National Association",MI,1920832371.4,16724,JPM-PD
67,"Bank of America, National Association",MI,706322355.18,7943,BAC
137,"U.S. Bank, National Association",MI,19016015.65,390,IUS2.DE
195,"Wells Fargo Bank, National Association",MI,14861355.0,102,AAADAXX
245,Manufacturers and Traders Trust Company,MI,1205235.5,12,0
4,"JPMorgan Chase Bank, National Association",FL,2284620146.11,35001,JPM-PD
55,"Bank of America, National Association",FL,3938048560.53,76401,BAC
133,"U.S. Bank, National Association",FL,35239594.74,557,IUS2.DE
162,"Wells Fargo Bank, National Association",FL,1307581487.0,37539,AAADAXX
226,Manufacturers and Traders Trust Company,FL,84913903.5,234,0
21,"JPMorgan Chase Bank, National Association",PA,171815164.97,795,JPM-PD
70,"Bank of America, National Association",PA,418566933.54,4698,BAC
139,"U.S. Bank, National Association",PA,17477585.5,340,IUS2.DE
171,"Wells Fargo Bank, National Association",PA,350133091.0,7513,AAADAXX
217,Manufacturers and Traders Trust Company,PA,1430798235.97,8263,0
6,"JPMorgan Chase Bank, National Association",NJ,1816089860.0,17482,JPM-PD
58,"Bank of America, National Association",NJ,1811578754.03,22777,BAC
142,"U.S. Bank, National Association",NJ,7335876.12,99,IUS2.DE
166,"Wells Fargo Bank, National Association",NJ,521098387.0,10735,AAADAXX
219,Manufacturers and Traders Trust Company,NJ,639280780.14,2765,0
3,"JPMorgan Chase Bank, National Association",IL,3026643926.04,35246,JPM-PD
63,"Bank of America, National Association",IL,952181461.74,11664,BAC
114,"U.S. Bank, National Association",IL,576731125.03,12467,IUS2.DE
187,"Wells Fargo Bank, National Association",IL,42654215.0,520,AAADAXX
234,Manufacturers and Traders Trust Company,IL,8977553.0,22,0
26,"JPMorgan Chase Bank, National Association",NC,75151453.72,417,JPM-PD
66,"Bank of America, National Association",NC,763357780.68,12848,BAC
138,"U.S. Bank, National Association",NC,18181265.12,380,IUS2.DE
167,"Wells Fargo Bank, National Association",NC,502606465.0,12214,AAADAXX
228,Manufacturers and Traders Trust Company,NC,16862194.5,54,0
15,"JPMorgan Chase Bank, National Association",GA,460083231.89,5730,JPM-PD
61,"Bank of America, National Association",GA,1071319722.03,19750,BAC
141,"U.S. Bank, National Association",GA,10631653.0,178,IUS2.DE
165,"Wells Fargo Bank, National Association",GA,541121871.0,14643,AAADAXX
230,Manufacturers and Traders Trust Company,GA,14420760.5,29,0
24,"JPMorgan Chase Bank, National Association",VA,101010507.0,442,JPM-PD
64,"Bank of America, National Association",VA,919351365.05,12641,BAC
135,"U.S. Bank, National Association",VA,23554369.35,181,IUS2.DE
168,"Wells Fargo Bank, National Association",VA,457720881.0,9624,AAADAXX
221,Manufacturers and Traders Trust Company,VA,351842834.41,2199,0
25,"JPMorgan Chase Bank, National Association",MD,78974855.43,403,JPM-PD
62,"Bank of America, National Association",MD,1024891265.55,16039,BAC
143,"U.S. Bank, National Association",MD,7127145.5,105,IUS2.DE
176,"Wells Fargo Bank, National Association",MD,207200496.0,4467,AAADAXX
215,Manufacturers and Traders Trust Company,MD,2114286261.52,15769,0
20,"JPMorgan Chase Bank, National Association",MA,252225859.01,1189,JPM-PD
59,"Bank of America, National Association",MA,1724656870.62,18624,BAC
140,"U.S. Bank, National Association",MA,12371410.22,81,IUS2.DE
200,"Wells Fargo Bank, National Association",MA,9807082.0,87,AAADAXX
218,Manufacturers and Traders Trust Company,MA,749737402.24,3780,0
11,"JPMorgan Chase Bank, National Association",LA,856245079.74,7376,JPM-PD
89,"Bank of America, National Association",LA,34537599.0,187,BAC
151,"U.S. Bank, National Association",LA,1760760.0,48,IUS2.DE
204,"Wells Fargo Bank, National Association",LA,3839406.0,87,AAADAXX
249,Manufacturers and Traders Trust Company,LA,443348.0,2,0
29,"JPMorgan Chase Bank, National Association",TN,43395278.55,344,JPM-PD
75,"Bank of America, National Association",TN,247822399.34,4327,BAC
122,"U.S. Bank, National Association",TN,166404838.1,4430,IUS2.DE
188,"Wells Fargo Bank, National Association",TN,40518029.0,852,AAADAXX
239,Manufacturers and Traders Trust Company,TN,2894642.0,4,0
17,"JPMorgan Chase Bank, National Association",UT,398291056.12,3588,JPM-PD
84,"Bank of America, National Association",UT,68266690.96,212,BAC
123,"U.S. Bank, National Association",UT,137001293.42,2175,IUS2.DE
178,"Wells Fargo Bank, National Association",UT,136481139.0,2807,AAADAXX
254,Manufacturers and Traders Trust Company,UT,100792.0,1,0
51,"JPMorgan Chase Bank, National Association",PR,47289.83,2,JPM-PD
