,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
0,JPMorgan Chase & Co.,60,NY,11087958271.58,102492,JPM
56,"Bank of America, National Association",1,NY,2726850870.75,30684,BAC
132,"U.S. Bank, National Association",185,NY,35974239.95,237,IUS2.DE
161,Manufacturers and Traders Trust Company,275,NY,4998865711.82,31756,0
223,Frost Bank,427,NY,1364900.0,13,CFR
1,JPMorgan Chase & Co.,60,CA,8856228454.19,97447,JPM
54,"Bank of America, National Association",1,CA,9517232864.77,133826,BAC
108,"U.S. Bank, National Association",185,CA,5830659531.21,68118,IUS2.DE
180,Manufacturers and Traders Trust Company,275,CA,10850206.0,29,0
210,Frost Bank,427,CA,14363300.0,50,CFR
2,JPMorgan Chase & Co.,60,TX,4309288233.39,47970,JPM
57,"Bank of America, National Association",1,TX,2227192037.72,37856,BAC
126,"U.S. Bank, National Association",185,TX,77101939.31,594,IUS2.DE
176,Manufacturers and Traders Trust Company,275,TX,14474617.0,35,0
209,Frost Bank,427,TX,4615777838.9,32194,CFR
3,JPMorgan Chase & Co.,60,IL,3026643926.04,35246,JPM
63,"Bank of America, National Association",1,IL,952181461.74,11664,BAC
114,"U.S. Bank, National Association",185,IL,576731125.03,12467,IUS2.DE
181,Manufacturers and Traders Trust Company,275,IL,8977553.0,22,0
231,Frost Bank,427,IL,252200.0,7,CFR
4,JPMorgan Chase & Co.,60,FL,2284620146.11,35001,JPM
55,"Bank of America, National Association",1,FL,3938048560.53,76401,BAC
133,"U.S. Bank, National Association",185,FL,35239594.74,557,IUS2.DE
173,Manufacturers and Traders Trust Company,275,FL,84913903.5,234,0
216,Frost Bank,427,FL,3421300.0,23,CFR
5,JPMorgan Chase & Co.,60,MI,1920832371.4,16724,JPM
67,"Bank of America, National Association",1,MI,706322355.18,7943,BAC
137,"U.S. Bank, National Association",185,MI,19016015.65,390,IUS2.DE
192,Manufacturers and Traders Trust Company,275,MI,1205235.5,12,0
228,Frost Bank,427,MI,462300.0,2,CFR
6,JPMorgan Chase & Co.,60,NJ,1816089860.0,17482,JPM
58,"Bank of America, National Association",1,NJ,1811578754.03,22777,BAC
142,"U.S. Bank, National Association",185,NJ,7335876.12,99,IUS2.DE
166,Manufacturers and Traders Trust Company,275,NJ,639280780.14,2765,0
233,Frost Bank,427,NJ,214000.0,6,CFR
7,JPMorgan Chase & Co.,60,AZ,1657774803.55,17186,JPM
68,"Bank of America, National Association",1,AZ,674479597.67,11702,BAC
120,"U.S. Bank, National Association",185,AZ,185419187.25,3999,IUS2.DE
184,Manufacturers and Traders Trust Company,275,AZ,5240545.5,16,0
215,Frost Bank,427,AZ,4436750.0,7,CFR
8,JPMorgan Chase & Co.,60,OH,1502201444.26,12382,JPM
77,"Bank of America, National Association",1,OH,154379866.53,652,BAC
112,"U.S. Bank, National Association",185,OH,653930256.13,11488,IUS2.DE
174,Manufacturers and Traders Trust Company,275,OH,25602142.79,57,0
225,Frost Bank,427,OH,765300.0,1,CFR
9,JPMorgan Chase & Co.,60,CO,900650426.15,10406,JPM
79,"Bank of America, National Association",1,CO,124932356.63,1219,BAC
113,"U.S. Bank, National Association",185,CO,638880621.81,11607,IUS2.DE
179,Manufacturers and Traders Trust Company,275,CO,12150666.0,31,0
213,Frost Bank,427,CO,4828100.0,36,CFR
10,JPMorgan Chase & Co.,60,IN,865558492.54,7925,JPM
81,"Bank of America, National Association",1,IN,94437298.69,415,BAC
