,ServicingLenderName,Symbol
0,b1BANK,0
1,Gulf Coast Bank and Trust Company,0
2,Cornerstone National Bank & Trust Company,0
3,"Hinsdale Bank & Trust Company, National Association",ZION
4,Southern Bank and Trust Company,0
5,Midland States Bank,0
6,Berkshire Bank,0
7,"Town Bank, National Association",TOWN
8,Camden National Bank,0
9,American Momentum Bank,0
10,Bankers Trust Company,0
11,"Sunrise Banks, National Association",ZION
12,The First Bank and Trust Company,0
13,Brookline Bank,0
14,"American Commercial Bank & Trust, National Association",ZION
15,"Evans Bank, National Association",ZION
16,BayFirst National Bank,0
17,City Bank,CCBG
18,Ocean Bank,0P0001LLF8.SA
19,"Guaranty Bank & Trust, National Association",ZION
20,Cambridge Trust Company,0
21,SmartBank,0
22,Flushing Bank,0
23,Texas Bank and Trust Company,0
24,Central Valley Community Bank,0
25,"WesBanco Bank, Inc.",TSLA
26,Cogent Bank,0
27,"Signature Bank, National Association",SBNY
28,Endeavor Bank,0
29,The Washington Trust Company of Westerly,0
30,Inwood National Bank,0
31,Fidelity Deposit and Discount Bank,0
32,Primis Bank,0
33,ANB Bank,0
34,Vista Bank,0
35,MidWestOne Bank,0
36,Frandsen Bank & Trust,0
37,Horizon Bank,0
38,Avidia Bank,0
39,"Westfield Bank, FSB",9377.KL
40,Lone Star National Bank,0
41,Lake Ridge Bank,0
42,Dogwood State Bank,DSBX
43,Peoples Security Bank and Trust Company,0
44,American Community Bank & Trust,0
45,HomeStreet Bank,0
46,Manufacturers Bank,0
47,Ion Bank,0
48,First Bank of the Lake,0
49,"Lake Forest Bank & Trust Company, National Association",ZION
50,American National Bank,AMNB
51,Westfield Bank,0
52,Bank of San Francisco,BSFO
53,CalPrivate Bank,0
54,Red River Bank,0
55,Village Bank,VBFC
56,FFB Bank,0
57,CommerceWest Bank,0
58,ChoiceOne Bank,0
59,Midwest BankCentre,0
60,Chemung Canal Trust Company,0
61,The First National Bank of Long Island,0
62,CapStar Bank,0
63,Meridian Bank,0
64,Texas First Bank,0
65,Fidelity Bank,0
66,Bridgewater Bank,0
67,Ponce Bank,0
68,Susser Bank,0
69,Manasquan Bank,0
70,HTLF Bank,0
71,Georgia's Own Credit Union,0
72,First Foundation Bank,0
73,"Merchants Bank, National Association",3968.HK
74,River Bank & Trust,0
75,The Middlefield Banking Company,0
76,Machias Savings Bank,0
77,Fed – Kabbage,0
78,"OceanFirst Bank, National Association",ZION
79,"Shore United Bank, National Association",ZION
80,The Piedmont Bank,0
81,Somerset Trust Company,0
82,"Sunflower Bank, National Association",ZION
83,Vantage Bank Texas,0
84,Idaho Central CU,0
85,Hanmi Bank,0
86,American National Bank and Trust Company,0
87,Bank of Utah,0
88,"VeraBank, National Association",ZION
89,Equity Bank,0
90,Southern Bank,0
91,"Alerus Financial, National Association",ALRS
92,Citizens & Northern Bank,0
93,Fairfield County Bank,0
94,Waukesha State Bank,0
95,Capital City Bank,CCBG
96,"A10Capital, LLC",BTM
97,Farmers State Bank,0
98,Hanover Community Bank,0
99,First Dakota National Bank,0
100,"Community Banks of Colorado, A Division of",0
101,"St. Charles Bank & Trust Company, National Association",ZION
102,Unity Bank,0
103,Needham Bank,0
104,Texas National Bank,0
105,"Austin Bank, Texas National Association",0
106,Independence Bank of Kentucky,0
107,First United Bank,0
108,Plumas Bank,0
109,CrossFirst Bank,CFB
110,Mission Bank,0
111,Tradition Capital Bank,0
112,"Traditional Bank, Inc.",TSLA
113,Texas Regional Bank,0
114,Minnwest Bank,0
115,Dacotah Bank,DBIN
116,South Shore Bank,0
117,"Greenstone Farm Credit Services, ACA",ACA
118,Virginia National Bank,VABK
119,Lake Michigan CU,0
120,First National Bank of Michigan,0
121,Northern Bank and Trust Company,0
122,Summit CU,0
123,West Bank,CWB.TO
124,Community National Bank,0
125,Peoples State Bank,0
126,Bristol County Savings Bank,0
127,Redwood CU,0
128,ESL FCU,0
129,Meadows Bank,0
130,County National Bank,0
131,"Barrington Bank & Trust Company, National Association",ZION
132,The Bank of Missouri,0
133,"Northbrook Bank & Trust Company, National Association",ZION
134,Bryant Bank,0
135,Quontic Bank,0
136,Citizens National Bank of Texas,0
137,The State Bank,0
138,"Centerstone SBA Lending, Inc.",TSLA
139,CDC Small Business Finance Corporation,0
140,Thomaston Savings Bank,0
141,Providence Bank & Trust,0
142,EagleBank,0
143,Heartland Bank,0
144,Popular Bank,0
145,Union Savings Bank,0
146,BayCoast Bank,0
147,Idaho First Bank,0
148,"Leader Bank, National Association",ZION
149,PCB Bank,0
150,FNCB Bank,0
151,Genesee Regional Bank,0
152,Timberland Bank,0
153,American Riviera Bank,0
154,MainStreet Bank,0
155,First State Community Bank,0
156,First Federal Bank,0
157,Burke & Herbert Bank & Trust Company,0
158,Queensborough National Bank and Trust Company,0
159,Fairwinds CU,0
160,RCB Bank,0
161,SouthWest Bank,0
162,John Marshall Bank,0
163,Cedar Rapids Bank and Trust Company,0
164,First County Bank,0
165,Members 1st FCU,0
166,Hills Bank and Trust Company,0
167,CNB Bank,CNBN
168,"Waterford Bank, National Association",ZION
169,VyStar CU,0
170,BankNewport,0
171,The First Bank,7184.T
172,First Western Trust Bank,0
173,Timberline Bank,0
174,Oregon Pacific Banking Company dba Oregon Pacific Bank,0
175,"Amerant Bank, National Association",ZION
176,Bank of the Sierra,0
177,Partners Bank of California,PBKX
178,The Bank of Princeton,0
179,Mabrey Bank,0
180,Union National Bank,0
181,Jefferson Bank,0
182,Colony Bank,CBAN
183,Mortgage Capital Development Corporation,0
184,InBank,INBC
185,Glens Falls National Bank and Trust Company,0
186,First Community Bank,FCBC
187,DFCU Financial CU,0
188,Gulf Coast Bank,0
189,Summit Bank,SBKO
190,Orange Bank & Trust Company,0
191,"Libertyville Bank & Trust Company, National Association",ZION
192,The North Side Bank and Trust Company,0
193,American Lending Center,0
194,First Farmers Bank & Trust Co.,0
195,First Citizens Community Bank,0
196,"LendingClub Bank, National Association",ZION
197,"Old Plank Trail Community Bank, National Association",ZION
198,First Bank & Trust,FBTT
199,Five Points Bank,0
200,Lakeside Bank,0
201,"C3Bank, National Association",ZION
202,People's Bank of Commerce,0
203,1st Capital Bank,0
204,Affinity Bank,0
205,The Lyons National Bank,0
206,Boeing Empl CU,0
207,America First FCU,0
208,Community Federal Savings Bank,0
209,Central Bank,CENTRALBK.NS
210,Israel Discount Bank of New York,0
211,Kitsap Bank,0
212,Community Bank of the Chesapeake,0
213,Park State Bank,0
214,American Bank of Commerce,0
215,Bank OZK,OZK
216,The Adirondack Trust Company,0
217,Bank of Springfield,0
218,Citizens Bank and Trust,0
219,Landmark National Bank,0
220,First Fidelity Bank,0
221,Community Bank of the Bay,0
222,North State Bank,0
223,Commencement Bank,0
224,The Bank of Greene County,0
225,First Federal Savings & Loan Association of Lakewood,0
226,"NexTier Bank, National Association",ZION
227,"Capital Bank, National Association",0P00013C2A.F
228,Country Club Bank,0
229,Farmers & Merchants Savings Bank,0
230,The Union Bank Company,0
231,Northeast Bank,NBN
232,U.S. Century Bank,0
233,Isabella Bank,ISBA
234,Norway Savings Bank,0
235,Iowa State Bank,0
236,Western State Bank,0
237,National Exchange Bank and Trust,0
238,Beneficial State Bank,0
239,Lexicon Bank,0
240,Security National Bank of Omaha,0
241,BankVista,0
242,Northfield Bank,0
243,Peapack-Gladstone Bank,0
244,The Park Bank,0
245,"Peoples National Bank, National Association",ZION
246,Southern Bancorp Bank,0
247,New Mexico Bank & Trust,0
248,Bank Independent,0
249,The Old Point National Bank of Phoebus,0
250,First National Bank,FBAK
251,UniBank for Savings,0
252,American Express National Bank,0
253,"South Central Bank, Inc.",TSLA
254,Arizona Financial Credit Union,0
255,InterBank,0
256,Citizens Community Federal National Association,0
257,FVCbank,FVCB
258,Community First Bank,CFOK
259,Dominion Bank,TD.TO
260,First PREMIER Bank,0
261,Newtown Savings Bank,0
262,Primary Bank,PRMY
263,Poppy Bank,0
264,"Blue Ridge Bank, National Association",BRBS
265,The Citizens National Bank of Bluffton,0
