,ServicingLenderName,idservicinglender,BorrowerState,CurrentApprovalAmount_Tatal,CurrentApprovalAmount_Count,Symbol
0,JPMorgan Chase & Co.,60,NY,11087958271.58,102492,JPM
1,JPMorgan Chase & Co.,60,CA,8856228454.19,97447,JPM
2,JPMorgan Chase & Co.,60,TX,4309288233.39,47970,JPM
3,JPMorgan Chase & Co.,60,IL,3026643926.04,35246,JPM
4,JPMorgan Chase & Co.,60,FL,2284620146.11,35001,JPM
5,JPMorgan Chase & Co.,60,MI,1920832371.4,16724,JPM
6,JPMorgan Chase & Co.,60,NJ,1816089860.0,17482,JPM
7,JPMorgan Chase & Co.,60,AZ,1657774803.55,17186,JPM
8,JPMorgan Chase & Co.,60,OH,1502201444.26,12382,JPM
9,JPMorgan Chase & Co.,60,CO,900650426.15,10406,JPM
10,JPMorgan Chase & Co.,60,IN,865558492.54,7925,JPM
11,JPMorgan Chase & Co.,60,LA,856245079.74,7376,JPM
12,JPMorgan Chase & Co.,60,WA,760703614.82,8957,JPM
13,JPMorgan Chase & Co.,60,WI,530833705.72,3591,JPM
14,JPMorgan Chase & Co.,60,OR,460745044.25,5255,JPM
15,JPMorgan Chase & Co.,60,GA,460083231.89,5730,JPM
16,JPMorgan Chase & Co.,60,CT,400788274.92,3916,JPM
17,JPMorgan Chase & Co.,60,UT,398291056.12,3588,JPM
18,JPMorgan Chase & Co.,60,NV,317931602.99,3980,JPM
19,JPMorgan Chase & Co.,60,KY,295930139.56,2306,JPM
20,JPMorgan Chase & Co.,60,MA,252225859.01,1189,JPM
21,JPMorgan Chase & Co.,60,PA,171815164.97,795,JPM
22,JPMorgan Chase & Co.,60,MN,129418959.5,180,JPM
23,JPMorgan Chase & Co.,60,OK,112873867.86,1328,JPM
24,JPMorgan Chase & Co.,60,VA,101010507.0,442,JPM
25,JPMorgan Chase & Co.,60,MD,78974855.43,403,JPM
26,JPMorgan Chase & Co.,60,NC,75151453.72,417,JPM
27,JPMorgan Chase & Co.,60,WV,69203004.17,546,JPM
28,JPMorgan Chase & Co.,60,DC,67787791.16,273,JPM
29,JPMorgan Chase & Co.,60,TN,43395278.55,344,JPM
30,JPMorgan Chase & Co.,60,ID,40453710.84,675,JPM
31,JPMorgan Chase & Co.,60,IA,27752904.0,69,JPM
32,JPMorgan Chase & Co.,60,MO,25117884.98,124,JPM
33,JPMorgan Chase & Co.,60,SC,23915223.69,233,JPM
34,JPMorgan Chase & Co.,60,NH,23660412.0,74,JPM
35,JPMorgan Chase & Co.,60,DE,23027719.79,142,JPM
36,JPMorgan Chase & Co.,60,KS,19313308.0,63,JPM
37,JPMorgan Chase & Co.,60,HI,18794624.0,43,JPM
38,JPMorgan Chase & Co.,60,RI,17622922.32,63,JPM
39,JPMorgan Chase & Co.,60,NE,13147258.0,24,JPM
40,JPMorgan Chase & Co.,60,AL,13115917.02,71,JPM
41,JPMorgan Chase & Co.,60,NM,10762628.0,80,JPM
42,JPMorgan Chase & Co.,60,WY,8757883.45,112,JPM
43,JPMorgan Chase & Co.,60,AR,8476100.38,39,JPM
44,JPMorgan Chase & Co.,60,VT,8248522.0,43,JPM
45,JPMorgan Chase & Co.,60,ME,7794103.0,44,JPM
46,JPMorgan Chase & Co.,60,MS,6141297.95,45,JPM
47,JPMorgan Chase & Co.,60,ND,1803428.7,9,JPM
48,JPMorgan Chase & Co.,60,MT,1640298.5,40,JPM
49,JPMorgan Chase & Co.,60,AK,829154.0,9,JPM
50,JPMorgan Chase & Co.,60,SD,135143.65,9,JPM
51,JPMorgan Chase & Co.,60,PR,47289.83,2,JPM
52,JPMorgan Chase & Co.,60,VI,35600.0,1,JPM
53,JPMorgan Chase & Co.,60,AE,3462.0,1,JPM
54,"Bank of America, National Association",1,CA,9517232864.77,133826,BAC
55,"Bank of America, National Association",1,FL,3938048560.53,76401,BAC
56,"Bank of America, National Association",1,NY,2726850870.75,30684,BAC
57,"Bank of America, National Association",1,TX,2227192037.72,37856,BAC
58,"Bank of America, National Association",1,NJ,1811578754.03,22777,BAC
59,"Bank of America, National Association",1,MA,1724656870.62,18624,BAC
60,"Bank of America, National Association",1,WA,1382871317.81,16158,BAC
61,"Bank of America, National Association",1,GA,1071319722.03,19750,BAC
62,"Bank of America, National Association",1,MD,1024891265.55,16039,BAC
63,"Bank of America, National Association",1,IL,952181461.74,11664,BAC
64,"Bank of America, National Association",1,VA,919351365.05,12641,BAC
65,"Bank of America, National Association",1,CT,832780527.44,9498,BAC
66,"Bank of America, National Association",1,NC,763357780.68,12848,BAC
67,"Bank of America, National Association",1,MI,706322355.18,7943,BAC
68,"Bank of America, National Association",1,AZ,674479597.67,11702,BAC
69,"Bank of America, National Association",1,NV,550320488.03,8238,BAC
70,"Bank of America, National Association",1,PA,418566933.54,4698,BAC
71,"Bank of America, National Association",1,SC,384523542.39,6387,BAC
72,"Bank of America, National Association",1,OR,380565334.27,4881,BAC
73,"Bank of America, National Association",1,DC,301465512.66,2478,BAC
74,"Bank of America, National Association",1,MO,291941009.64,5171,BAC
75,"Bank of America, National Association",1,TN,247822399.34,4327,BAC
76,"Bank of America, National Association",1,RI,234220336.56,2430,BAC
77,"Bank of America, National Association",1,OH,154379866.53,652,BAC
78,"Bank of America, National Association",1,NH,139907253.38,1582,BAC
79,"Bank of America, National Association",1,CO,124932356.63,1219,BAC
80,"Bank of America, National Association",1,NM,104117732.15,1586,BAC
81,"Bank of America, National Association",1,IN,94437298.69,415,BAC
82,"Bank of America, National Association",1,KS,83380108.06,1886,BAC
83,"Bank of America, National Association",1,OK,77558860.58,1471,BAC
84,"Bank of America, National Association",1,UT,68266690.96,212,BAC
85,"Bank of America, National Association",1,MN,61523834.67,557,BAC
86,"Bank of America, National Association",1,DE,59227617.5,597,BAC
87,"Bank of America, National Association",1,AR,56879755.49,885,BAC
88,"Bank of America, National Association",1,ME,52961435.15,745,BAC
89,"Bank of America, National Association",1,LA,34537599.0,187,BAC
90,"Bank of America, National Association",1,AK,31022026.5,94,BAC
91,"Bank of America, National Association",1,WI,27750509.5,188,BAC
92,"Bank of America, National Association",1,ID,26138863.0,231,BAC
93,"Bank of America, National Association",1,AL,24643365.0,204,BAC
94,"Bank of America, National Association",1,IA,18631335.0,291,BAC
95,"Bank of America, National Association",1,KY,14526477.0,148,BAC
96,"Bank of America, National Association",1,VT,13870353.0,88,BAC
97,"Bank of America, National Association",1,MS,13171110.81,148,BAC
98,"Bank of America, National Association",1,SD,10681404.0,24,BAC
99,"Bank of America, National Association",1,HI,8547863.99,167,BAC
100,"Bank of America, National Association",1,PR,7387473.0,34,BAC
101,"Bank of America, National Association",1,WY,6020155.0,196,BAC
102,"Bank of America, National Association",1,MT,4643543.0,52,BAC
103,"Bank of America, National Association",1,WV,2857684.0,46,BAC
104,"Bank of America, National Association",1,VI,2351956.0,25,BAC
105,"Bank of America, National Association",1,ND,1269639.0,24,BAC
106,"Bank of America, National Association",1,NE,1184310.0,41,BAC
107,"Bank of America, National Association",1,AS,725055.0,1,BAC
108,"U.S. Bank, National Association",185,CA,5830659531.21,68118,IUS2.DE
109,"U.S. Bank, National Association",185,WA,1189951913.43,12636,IUS2.DE
110,"U.S. Bank, National Association",185,OR,1066449559.24,13462,IUS2.DE
111,"U.S. Bank, National Association",185,MN,869364809.85,11833,IUS2.DE
112,"U.S. Bank, National Association",185,OH,653930256.13,11488,IUS2.DE
113,"U.S. Bank, National Association",185,CO,638880621.81,11607,IUS2.DE
114,"U.S. Bank, National Association",185,IL,576731125.03,12467,IUS2.DE
115,"U.S. Bank, National Association",185,WI,406418278.49,6904,IUS2.DE
116,"U.S. Bank, National Association",185,MO,376854207.37,7913,IUS2.DE
117,"U.S. Bank, National Association",185,NV,333294688.74,6265,IUS2.DE
118,"U.S. Bank, National Association",185,IA,218671439.37,2992,IUS2.DE
119,"U.S. Bank, National Association",185,KY,187143021.44,3345,IUS2.DE
120,"U.S. Bank, National Association",185,AZ,185419187.25,3999,IUS2.DE
121,"U.S. Bank, National Association",185,ID,180787481.37,3033,IUS2.DE
122,"U.S. Bank, National Association",185,TN,166404838.1,4430,IUS2.DE
123,"U.S. Bank, National Association",185,UT,137001293.42,2175,IUS2.DE
124,"U.S. Bank, National Association",185,NM,136677371.94,1739,IUS2.DE
125,"U.S. Bank, National Association",185,KS,108196433.27,1775,IUS2.DE
126,"U.S. Bank, National Association",185,TX,77101939.31,594,IUS2.DE
127,"U.S. Bank, National Association",185,NE,74343118.36,1726,IUS2.DE
128,"U.S. Bank, National Association",185,MT,69010666.33,1008,IUS2.DE
129,"U.S. Bank, National Association",185,SD,56936642.66,785,IUS2.DE
130,"U.S. Bank, National Association",185,AR,39855455.14,888,IUS2.DE
131,"U.S. Bank, National Association",185,IN,36559987.54,683,IUS2.DE
132,"U.S. Bank, National Association",185,NY,35974239.95,237,IUS2.DE
133,"U.S. Bank, National Association",185,FL,35239594.74,557,IUS2.DE
134,"U.S. Bank, National Association",185,ND,33089886.91,638,IUS2.DE
135,"U.S. Bank, National Association",185,VA,23554369.35,181,IUS2.DE
136,"U.S. Bank, National Association",185,WY,20812755.05,425,IUS2.DE
137,"U.S. Bank, National Association",185,MI,19016015.65,390,IUS2.DE
138,"U.S. Bank, National Association",185,NC,18181265.12,380,IUS2.DE
139,"U.S. Bank, National Association",185,PA,17477585.5,340,IUS2.DE
140,"U.S. Bank, National Association",185,MA,12371410.22,81,IUS2.DE
141,"U.S. Bank, National Association",185,GA,10631653.0,178,IUS2.DE
142,"U.S. Bank, National Association",185,NJ,7335876.12,99,IUS2.DE
143,"U.S. Bank, National Association",185,MD,7127145.5,105,IUS2.DE
144,"U.S. Bank, National Association",185,OK,6315869.0,167,IUS2.DE
145,"U.S. Bank, National Association",185,SC,6270345.5,82,IUS2.DE
146,"U.S. Bank, National Association",185,AL,4787790.0,57,IUS2.DE
147,"U.S. Bank, National Association",185,ME,4022391.31,10,IUS2.DE
148,"U.S. Bank, National Association",185,CT,3893237.0,46,IUS2.DE
149,"U.S. Bank, National Association",185,DE,3248737.5,9,IUS2.DE
150,"U.S. Bank, National Association",185,HI,2320953.65,39,IUS2.DE
151,"U.S. Bank, National Association",185,LA,1760760.0,48,IUS2.DE
152,"U.S. Bank, National Association",185,MS,1373665.61,20,IUS2.DE
153,"U.S. Bank, National Association",185,WV,1112785.5,31,IUS2.DE
154,"U.S. Bank, National Association",185,DC,924565.0,30,IUS2.DE
