,name,state,amount,count,symbol
0,"JPMorgan Chase Bank, National Association",NY,11087958271.58,102492,JPM-PD
1,"JPMorgan Chase Bank, National Association",CA,8856228454.19,97447,JPM-PD
2,"JPMorgan Chase Bank, National Association",TX,4309288233.39,47970,JPM-PD
3,"JPMorgan Chase Bank, National Association",IL,3026643926.04,35246,JPM-PD
4,"JPMorgan Chase Bank, National Association",FL,2284620146.11,35001,JPM-PD
5,"JPMorgan Chase Bank, National Association",MI,1920832371.4,16724,JPM-PD
6,"JPMorgan Chase Bank, National Association",NJ,1816089860.0,17482,JPM-PD
7,"JPMorgan Chase Bank, National Association",AZ,1657774803.55,17186,JPM-PD
8,"JPMorgan Chase Bank, National Association",OH,1502201444.26,12382,JPM-PD
9,"JPMorgan Chase Bank, National Association",CO,900650426.15,10406,JPM-PD
10,"JPMorgan Chase Bank, National Association",IN,865558492.54,7925,JPM-PD
11,"JPMorgan Chase Bank, National Association",LA,856245079.74,7376,JPM-PD
12,"JPMorgan Chase Bank, National Association",WA,760703614.82,8957,JPM-PD
13,"JPMorgan Chase Bank, National Association",WI,530833705.72,3591,JPM-PD
14,"JPMorgan Chase Bank, National Association",OR,460745044.25,5255,JPM-PD
15,"JPMorgan Chase Bank, National Association",GA,460083231.89,5730,JPM-PD
16,"JPMorgan Chase Bank, National Association",CT,400788274.92,3916,JPM-PD
17,"JPMorgan Chase Bank, National Association",UT,398291056.12,3588,JPM-PD
18,"JPMorgan Chase Bank, National Association",NV,317931602.99,3980,JPM-PD
19,"JPMorgan Chase Bank, National Association",KY,295930139.56,2306,JPM-PD
20,"JPMorgan Chase Bank, National Association",MA,252225859.01,1189,JPM-PD
21,"JPMorgan Chase Bank, National Association",PA,171815164.97,795,JPM-PD
22,"JPMorgan Chase Bank, National Association",MN,129418959.5,180,JPM-PD
23,"JPMorgan Chase Bank, National Association",OK,112873867.86,1328,JPM-PD
24,"JPMorgan Chase Bank, National Association",VA,101010507.0,442,JPM-PD
25,"JPMorgan Chase Bank, National Association",MD,78974855.43,403,JPM-PD
26,"JPMorgan Chase Bank, National Association",NC,75151453.72,417,JPM-PD
27,"JPMorgan Chase Bank, National Association",WV,69203004.17,546,JPM-PD
28,"JPMorgan Chase Bank, National Association",DC,67787791.16,273,JPM-PD
29,"JPMorgan Chase Bank, National Association",TN,43395278.55,344,JPM-PD
30,"JPMorgan Chase Bank, National Association",ID,40453710.84,675,JPM-PD
31,"JPMorgan Chase Bank, National Association",IA,27752904.0,69,JPM-PD
32,"JPMorgan Chase Bank, National Association",MO,25117884.98,124,JPM-PD
33,"JPMorgan Chase Bank, National Association",SC,23915223.69,233,JPM-PD
34,"JPMorgan Chase Bank, National Association",NH,23660412.0,74,JPM-PD
35,"JPMorgan Chase Bank, National Association",DE,23027719.79,142,JPM-PD
36,"JPMorgan Chase Bank, National Association",KS,19313308.0,63,JPM-PD
37,"JPMorgan Chase Bank, National Association",HI,18794624.0,43,JPM-PD
38,"JPMorgan Chase Bank, National Association",RI,17622922.32,63,JPM-PD
39,"JPMorgan Chase Bank, National Association",NE,13147258.0,24,JPM-PD
40,"JPMorgan Chase Bank, National Association",AL,13115917.02,71,JPM-PD
41,"JPMorgan Chase Bank, National Association",NM,10762628.0,80,JPM-PD
42,"JPMorgan Chase Bank, National Association",WY,8757883.45,112,JPM-PD
43,"JPMorgan Chase Bank, National Association",AR,8476100.38,39,JPM-PD
44,"JPMorgan Chase Bank, National Association",VT,8248522.0,43,JPM-PD
45,"JPMorgan Chase Bank, National Association",ME,7794103.0,44,JPM-PD
46,"JPMorgan Chase Bank, National Association",MS,6141297.95,45,JPM-PD
47,"JPMorgan Chase Bank, National Association",ND,1803428.7,9,JPM-PD
48,"JPMorgan Chase Bank, National Association",MT,1640298.5,40,JPM-PD
49,"JPMorgan Chase Bank, National Association",AK,829154.0,9,JPM-PD
50,"JPMorgan Chase Bank, National Association",SD,135143.65,9,JPM-PD
51,"JPMorgan Chase Bank, National Association",PR,47289.83,2,JPM-PD
52,"JPMorgan Chase Bank, National Association",VI,35600.0,1,JPM-PD
53,"JPMorgan Chase Bank, National Association",AE,3462.0,1,JPM-PD
54,"Bank of America, National Association",CA,9517232864.77,133826,BAC
55,"Bank of America, National Association",FL,3938048560.53,76401,BAC
56,"Bank of America, National Association",NY,2726850870.75,30684,BAC
57,"Bank of America, National Association",TX,2227192037.72,37856,BAC
58,"Bank of America, National Association",NJ,1811578754.03,22777,BAC
59,"Bank of America, National Association",MA,1724656870.62,18624,BAC
60,"Bank of America, National Association",WA,1382871317.81,16158,BAC
61,"Bank of America, National Association",GA,1071319722.03,19750,BAC
62,"Bank of America, National Association",MD,1024891265.55,16039,BAC
63,"Bank of America, National Association",IL,952181461.74,11664,BAC
64,"Bank of America, National Association",VA,919351365.05,12641,BAC
65,"Bank of America, National Association",CT,832780527.44,9498,BAC
66,"Bank of America, National Association",NC,763357780.68,12848,BAC
67,"Bank of America, National Association",MI,706322355.18,7943,BAC
68,"Bank of America, National Association",AZ,674479597.67,11702,BAC
69,"Bank of America, National Association",NV,550320488.03,8238,BAC
70,"Bank of America, National Association",PA,418566933.54,4698,BAC
71,"Bank of America, National Association",SC,384523542.39,6387,BAC
72,"Bank of America, National Association",OR,380565334.27,4881,BAC
73,"Bank of America, National Association",DC,301465512.66,2478,BAC
74,"Bank of America, National Association",MO,291941009.64,5171,BAC
75,"Bank of America, National Association",TN,247822399.34,4327,BAC
76,"Bank of America, National Association",RI,234220336.56,2430,BAC
77,"Bank of America, National Association",OH,154379866.53,652,BAC
78,"Bank of America, National Association",NH,139907253.38,1582,BAC
79,"Bank of America, National Association",CO,124932356.63,1219,BAC
80,"Bank of America, National Association",NM,104117732.15,1586,BAC
81,"Bank of America, National Association",IN,94437298.69,415,BAC
82,"Bank of America, National Association",KS,83380108.06,1886,BAC
83,"Bank of America, National Association",OK,77558860.58,1471,BAC
84,"Bank of America, National Association",UT,68266690.96,212,BAC
85,"Bank of America, National Association",MN,61523834.67,557,BAC
86,"Bank of America, National Association",DE,59227617.5,597,BAC
87,"Bank of America, National Association",AR,56879755.49,885,BAC
88,"Bank of America, National Association",ME,52961435.15,745,BAC
89,"Bank of America, National Association",LA,34537599.0,187,BAC
90,"Bank of America, National Association",AK,31022026.5,94,BAC
91,"Bank of America, National Association",WI,27750509.5,188,BAC
92,"Bank of America, National Association",ID,26138863.0,231,BAC
93,"Bank of America, National Association",AL,24643365.0,204,BAC
94,"Bank of America, National Association",IA,18631335.0,291,BAC
95,"Bank of America, National Association",KY,14526477.0,148,BAC
96,"Bank of America, National Association",VT,13870353.0,88,BAC
97,"Bank of America, National Association",MS,13171110.81,148,BAC
98,"Bank of America, National Association",SD,10681404.0,24,BAC
99,"Bank of America, National Association",HI,8547863.99,167,BAC
100,"Bank of America, National Association",PR,7387473.0,34,BAC
101,"Bank of America, National Association",WY,6020155.0,196,BAC
102,"Bank of America, National Association",MT,4643543.0,52,BAC
103,"Bank of America, National Association",WV,2857684.0,46,BAC
104,"Bank of America, National Association",VI,2351956.0,25,BAC
105,"Bank of America, National Association",ND,1269639.0,24,BAC
106,"Bank of America, National Association",NE,1184310.0,41,BAC
107,"Bank of America, National Association",AS,725055.0,1,BAC
108,"U.S. Bank, National Association",CA,5830659531.21,68118,IUS2.DE
109,"U.S. Bank, National Association",WA,1189951913.43,12636,IUS2.DE
110,"U.S. Bank, National Association",OR,1066449559.24,13462,IUS2.DE
111,"U.S. Bank, National Association",MN,869364809.85,11833,IUS2.DE
112,"U.S. Bank, National Association",OH,653930256.13,11488,IUS2.DE
113,"U.S. Bank, National Association",CO,638880621.81,11607,IUS2.DE
114,"U.S. Bank, National Association",IL,576731125.03,12467,IUS2.DE
115,"U.S. Bank, National Association",WI,406418278.49,6904,IUS2.DE
116,"U.S. Bank, National Association",MO,376854207.37,7913,IUS2.DE
117,"U.S. Bank, National Association",NV,333294688.74,6265,IUS2.DE
118,"U.S. Bank, National Association",IA,218671439.37,2992,IUS2.DE
119,"U.S. Bank, National Association",KY,187143021.44,3345,IUS2.DE
120,"U.S. Bank, National Association",AZ,185419187.25,3999,IUS2.DE
121,"U.S. Bank, National Association",ID,180787481.37,3033,IUS2.DE
122,"U.S. Bank, National Association",TN,166404838.1,4430,IUS2.DE
123,"U.S. Bank, National Association",UT,137001293.42,2175,IUS2.DE
124,"U.S. Bank, National Association",NM,136677371.94,1739,IUS2.DE
125,"U.S. Bank, National Association",KS,108196433.27,1775,IUS2.DE
126,"U.S. Bank, National Association",TX,77101939.31,594,IUS2.DE
127,"U.S. Bank, National Association",NE,74343118.36,1726,IUS2.DE
128,"U.S. Bank, National Association",MT,69010666.33,1008,IUS2.DE
129,"U.S. Bank, National Association",SD,56936642.66,785,IUS2.DE
130,"U.S. Bank, National Association",AR,39855455.14,888,IUS2.DE
131,"U.S. Bank, National Association",IN,36559987.54,683,IUS2.DE
132,"U.S. Bank, National Association",NY,35974239.95,237,IUS2.DE
133,"U.S. Bank, National Association",FL,35239594.74,557,IUS2.DE
134,"U.S. Bank, National Association",ND,33089886.91,638,IUS2.DE
135,"U.S. Bank, National Association",VA,23554369.35,181,IUS2.DE
136,"U.S. Bank, National Association",WY,20812755.05,425,IUS2.DE
137,"U.S. Bank, National Association",MI,19016015.65,390,IUS2.DE
138,"U.S. Bank, National Association",NC,18181265.12,380,IUS2.DE
139,"U.S. Bank, National Association",PA,17477585.5,340,IUS2.DE
140,"U.S. Bank, National Association",MA,12371410.22,81,IUS2.DE
141,"U.S. Bank, National Association",GA,10631653.0,178,IUS2.DE
142,"U.S. Bank, National Association",NJ,7335876.12,99,IUS2.DE
143,"U.S. Bank, National Association",MD,7127145.5,105,IUS2.DE
144,"U.S. Bank, National Association",OK,6315869.0,167,IUS2.DE
145,"U.S. Bank, National Association",SC,6270345.5,82,IUS2.DE
146,"U.S. Bank, National Association",AL,4787790.0,57,IUS2.DE
147,"U.S. Bank, National Association",ME,4022391.31,10,IUS2.DE
148,"U.S. Bank, National Association",CT,3893237.0,46,IUS2.DE
149,"U.S. Bank, National Association",DE,3248737.5,9,IUS2.DE
150,"U.S. Bank, National Association",HI,2320953.65,39,IUS2.DE
151,"U.S. Bank, National Association",LA,1760760.0,48,IUS2.DE
152,"U.S. Bank, National Association",MS,1373665.61,20,IUS2.DE
153,"U.S. Bank, National Association",WV,1112785.5,31,IUS2.DE
154,"U.S. Bank, National Association",DC,924565.0,30,IUS2.DE
155,"U.S. Bank, National Association",VT,655584.0,4,IUS2.DE
156,"U.S. Bank, National Association",NH,463292.5,17,IUS2.DE
157,"U.S. Bank, National Association",AK,373586.0,17,IUS2.DE
158,"U.S. Bank, National Association",RI,218110.0,2,IUS2.DE
159,"U.S. Bank, National Association",PR,19758.0,1,IUS2.DE
160,"U.S. Bank, National Association",VI,16079.0,1,IUS2.DE
161,"Wells Fargo Bank, National Association",CA,5061065837.0,82603,AAADAXX
162,"Wells Fargo Bank, National Association",FL,1307581487.0,37539,AAADAXX
163,"Wells Fargo Bank, National Association",TX,1019736380.36,24691,AAADAXX
164,"Wells Fargo Bank, National Association",AZ,552403967.26,10678,AAADAXX
165,"Wells Fargo Bank, National Association",GA,541121871.0,14643,AAADAXX
166,"Wells Fargo Bank, National Association",NJ,521098387.0,10735,AAADAXX
167,"Wells Fargo Bank, National Association",NC,502606465.0,12214,AAADAXX
168,"Wells Fargo Bank, National Association",VA,457720881.0,9624,AAADAXX
169,"Wells Fargo Bank, National Association",CO,449625752.0,10984,AAADAXX
170,"Wells Fargo Bank, National Association",WA,360594092.56,5599,AAADAXX
171,"Wells Fargo Bank, National Association",PA,350133091.0,7513,AAADAXX
172,"Wells Fargo Bank, National Association",NV,340122393.0,6563,AAADAXX
173,"Wells Fargo Bank, National Association",MN,292891645.0,6936,AAADAXX
174,"Wells Fargo Bank, National Association",OR,286923238.65,4477,AAADAXX
175,"Wells Fargo Bank, National Association",NY,216912620.0,3685,AAADAXX
176,"Wells Fargo Bank, National Association",MD,207200496.0,4467,AAADAXX
177,"Wells Fargo Bank, National Association",SC,200883867.0,4869,AAADAXX
178,"Wells Fargo Bank, National Association",UT,136481139.0,2807,AAADAXX
179,"Wells Fargo Bank, National Association",NM,114448039.0,2033,AAADAXX
180,"Wells Fargo Bank, National Association",CT,102421467.0,2351,AAADAXX
181,"Wells Fargo Bank, National Association",AK,96089852.86,1667,AAADAXX
182,"Wells Fargo Bank, National Association",DC,92267963.0,1096,AAADAXX
183,"Wells Fargo Bank, National Association",AL,71427208.0,2433,AAADAXX
184,"Wells Fargo Bank, National Association",IA,59507461.0,1195,AAADAXX
185,"Wells Fargo Bank, National Association",ID,56039842.0,1376,AAADAXX
186,"Wells Fargo Bank, National Association",WI,53560612.0,1158,AAADAXX
187,"Wells Fargo Bank, National Association",IL,42654215.0,520,AAADAXX
188,"Wells Fargo Bank, National Association",TN,40518029.0,852,AAADAXX
189,"Wells Fargo Bank, National Association",DE,29377422.0,691,AAADAXX
190,"Wells Fargo Bank, National Association",NE,29067818.0,992,AAADAXX
191,"Wells Fargo Bank, National Association",OH,25996856.0,99,AAADAXX
192,"Wells Fargo Bank, National Association",WY,18053464.0,574,AAADAXX
193,"Wells Fargo Bank, National Association",MT,17854356.0,690,AAADAXX
194,"Wells Fargo Bank, National Association",SD,15710090.0,602,AAADAXX
195,"Wells Fargo Bank, National Association",MI,14861355.0,102,AAADAXX
196,"Wells Fargo Bank, National Association",ND,12787181.0,307,AAADAXX
197,"Wells Fargo Bank, National Association",IN,11668359.0,79,AAADAXX
198,"Wells Fargo Bank, National Association",KS,10529949.0,203,AAADAXX
199,"Wells Fargo Bank, National Association",HI,10311969.0,65,AAADAXX
200,"Wells Fargo Bank, National Association",MA,9807082.0,87,AAADAXX
201,"Wells Fargo Bank, National Association",MS,7998713.0,376,AAADAXX
202,"Wells Fargo Bank, National Association",OK,4717093.0,71,AAADAXX
203,"Wells Fargo Bank, National Association",MO,4527321.0,140,AAADAXX
204,"Wells Fargo Bank, National Association",LA,3839406.0,87,AAADAXX
205,"Wells Fargo Bank, National Association",ME,3509072.0,23,AAADAXX
206,"Wells Fargo Bank, National Association",KY,3396843.0,37,AAADAXX
207,"Wells Fargo Bank, National Association",AR,2163637.0,53,AAADAXX
208,"Wells Fargo Bank, National Association",WV,1435793.0,26,AAADAXX
209,"Wells Fargo Bank, National Association",NH,851345.0,22,AAADAXX
210,"Wells Fargo Bank, National Association",VT,756055.0,7,AAADAXX
211,"Wells Fargo Bank, National Association",RI,585507.0,10,AAADAXX
212,"Wells Fargo Bank, National Association",PR,330170.0,12,AAADAXX
213,"Wells Fargo Bank, National Association",VI,34600.0,1,AAADAXX
214,Manufacturers and Traders Trust Company,NY,4998865711.82,31756,0
215,Manufacturers and Traders Trust Company,MD,2114286261.52,15769,0
216,Manufacturers and Traders Trust Company,CT,1533614847.38,15513,0
217,Manufacturers and Traders Trust Company,PA,1430798235.97,8263,0
218,Manufacturers and Traders Trust Company,MA,749737402.24,3780,0
219,Manufacturers and Traders Trust Company,NJ,639280780.14,2765,0
220,Manufacturers and Traders Trust Company,DE,394866362.81,3021,0
221,Manufacturers and Traders Trust Company,VA,351842834.41,2199,0
222,Manufacturers and Traders Trust Company,VT,342858146.38,2752,0
223,Manufacturers and Traders Trust Company,NH,251402498.95,1940,0
224,Manufacturers and Traders Trust Company,ME,134674562.06,793,0
225,Manufacturers and Traders Trust Company,DC,125434544.0,669,0
226,Manufacturers and Traders Trust Company,FL,84913903.5,234,0
227,Manufacturers and Traders Trust Company,OH,25602142.79,57,0
228,Manufacturers and Traders Trust Company,NC,16862194.5,54,0
229,Manufacturers and Traders Trust Company,TX,14474617.0,35,0
230,Manufacturers and Traders Trust Company,GA,14420760.5,29,0
231,Manufacturers and Traders Trust Company,RI,13438666.95,56,0
232,Manufacturers and Traders Trust Company,CO,12150666.0,31,0
233,Manufacturers and Traders Trust Company,CA,10850206.0,29,0
234,Manufacturers and Traders Trust Company,IL,8977553.0,22,0
235,Manufacturers and Traders Trust Company,WV,7459896.0,115,0
236,Manufacturers and Traders Trust Company,SC,5677769.5,35,0
237,Manufacturers and Traders Trust Company,AZ,5240545.5,16,0
238,Manufacturers and Traders Trust Company,KS,4490408.0,9,0
239,Manufacturers and Traders Trust Company,TN,2894642.0,4,0
240,Manufacturers and Traders Trust Company,WA,2645079.0,8,0
241,Manufacturers and Traders Trust Company,IN,2260566.5,7,0
242,Manufacturers and Traders Trust Company,KY,2232391.0,7,0
243,Manufacturers and Traders Trust Company,MN,1698330.0,7,0
244,Manufacturers and Traders Trust Company,SD,1269637.0,2,0
245,Manufacturers and Traders Trust Company,MI,1205235.5,12,0
246,Manufacturers and Traders Trust Company,WI,843762.0,3,0
247,Manufacturers and Traders Trust Company,NV,624280.0,9,0
248,Manufacturers and Traders Trust Company,MS,509604.0,2,0
249,Manufacturers and Traders Trust Company,LA,443348.0,2,0
250,Manufacturers and Traders Trust Company,NM,390447.0,7,0
251,Manufacturers and Traders Trust Company,AL,370000.0,1,0
252,Manufacturers and Traders Trust Company,AR,177501.0,1,0
253,Manufacturers and Traders Trust Company,IA,125345.0,2,0
254,Manufacturers and Traders Trust Company,UT,100792.0,1,0
255,Manufacturers and Traders Trust Company,MO,87292.0,3,0
256,Manufacturers and Traders Trust Company,NE,81125.0,1,0
257,Manufacturers and Traders Trust Company,OR,41664.0,2,0
258,Manufacturers and Traders Trust Company,ID,32028.5,2,0
259,Manufacturers and Traders Trust Company,HI,21684.0,2,0
260,Manufacturers and Traders Trust Company,WY,20833.0,1,0
261,Manufacturers and Traders Trust Company,OK,3300.0,1,0
262,Frost Bank,TX,4615777838.9,32194,CFR
263,Frost Bank,CA,14363300.0,50,CFR
264,Frost Bank,NV,9330200.0,25,CFR
265,Frost Bank,GA,4993300.0,10,CFR
266,Frost Bank,CO,4828100.0,36,CFR
267,Frost Bank,NM,4698200.0,17,CFR
268,Frost Bank,AZ,4436750.0,7,CFR
269,Frost Bank,FL,3421300.0,23,CFR
270,Frost Bank,OK,3025000.0,16,CFR
271,Frost Bank,VA,2658300.0,7,CFR
272,Frost Bank,WA,2281100.0,5,CFR
273,Frost Bank,PA,2228700.0,1,CFR
274,Frost Bank,MS,1597215.0,6,CFR
275,Frost Bank,WY,1461800.0,13,CFR
276,Frost Bank,NY,1364900.0,13,CFR
277,Frost Bank,AR,1353600.0,7,CFR
278,Frost Bank,OH,765300.0,1,CFR
279,Frost Bank,CT,694300.0,4,CFR
280,Frost Bank,TN,571800.0,12,CFR
281,Frost Bank,MI,462300.0,2,CFR
282,Frost Bank,NE,438300.0,2,CFR
283,Frost Bank,SC,372100.0,5,CFR
284,Frost Bank,IL,252200.0,7,CFR
285,Frost Bank,LA,227000.0,12,CFR
286,Frost Bank,NJ,214000.0,6,CFR
287,Frost Bank,IA,210200.0,2,CFR
288,Frost Bank,MN,186600.0,7,CFR
289,Frost Bank,IN,185200.0,3,CFR
290,Frost Bank,UT,118400.0,5,CFR
291,Frost Bank,VI,115000.0,2,CFR
292,Frost Bank,NC,115000.0,5,CFR
293,Frost Bank,DC,59200.0,2,CFR
294,Frost Bank,KY,56500.0,1,CFR
295,Frost Bank,AL,36200.0,2,CFR
296,Frost Bank,MA,35600.0,1,CFR
297,Frost Bank,MD,22800.0,2,CFR
298,Frost Bank,MT,20800.0,1,CFR
299,Frost Bank,HI,9300.0,1,CFR
300,Frost Bank,ID,8800.0,1,CFR
301,Frost Bank,VT,1500.0,1,CFR
302,City National Bank,CA,4572211429.71,19609,0
303,City National Bank,NY,456504869.04,2497,0
304,City National Bank,NV,216681658.2,1040,0
305,City National Bank,TN,93743388.96,720,0
306,City National Bank,NJ,90153085.82,297,0
307,City National Bank,FL,58947961.84,150,0
308,City National Bank,GA,49206749.29,221,0
309,City National Bank,VA,48783470.0,96,0
310,City National Bank,TX,44755830.86,118,0
311,City National Bank,DC,37916934.31,93,0
312,City National Bank,WA,28006102.5,38,0
313,City National Bank,PA,26510895.22,49,0
314,City National Bank,IL,23924623.92,62,0
315,City National Bank,AZ,22580699.0,57,0
316,City National Bank,NC,20258134.62,37,0
317,City National Bank,MN,16804525.5,44,0
